	EC	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
23	bank	0	0	0	0	0	0	0	0	13	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
24	bankruptcy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
25	barackObama	1	0	3	0	4	0	0	3	0	0	8	2	6	2	2	0	4	0	7	1	7	4	2	10	2	10	0	6	0	0	0	6	3	1	3	0	0	0	4	2
26	bill	0	0	0	0	0	0	0	0	1	0	0	10	0	0	3	0	1	1	1	0	0	0	0	0	19	0	0	0	5	0	0	0	2	0	3	0	0	0	1	5
27	border	0	0	0	0	0	0	2	1	0	0	0	0	0	0	7	0	0	8	1	0	0	0	0	0	1	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0
28	bridge	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	budgetCuts	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
30	business	0	0	0	4	0	1	1	1	2	0	0	0	0	8	0	1	0	0	3	0	0	1	1	0	5	0	0	0	0	0	2	9	0	0	0	0	0	1	0	3
31	campaign	1	0	0	0	2	0	0	1	2	1	1	0	0	3	0	4	2	2	9	0	0	3	1	0	6	4	0	1	0	3	0	0	2	0	0	0	1	1	0	0
32	certainMiddle-Easterncountries	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0
33	christopherSteele	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	cleanEnergy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
35	climateChange	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	4	0	2	5	19	0	0	6	1	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0
36	coalMiners	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
37	confirmationHearings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
38	congress	0	0	2	1	0	0	0	2	4	0	1	1	0	0	4	1	1	1	0	2	0	0	0	0	1	3	0	0	1	4	0	0	3	0	2	0	1	0	0	2
39	conservative	0	0	0	1	0	0	0	1	1	10	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	1	0
40	construction	0	0	4	0	0	0	0	4	12	0	0	0	0	4	16	0	0	4	0	0	0	0	0	0	4	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
41	cost	0	2	1	1	1	0	0	2	6	0	1	1	0	0	5	0	0	2	2	0	3	1	0	3	7	0	0	0	0	11	0	1	0	0	1	0	0	0	0	1
42	deductibles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	democracy	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	democrat	0	0	0	0	0	0	0	1	2	5	0	1	0	0	2	0	3	4	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	8	3
45	democraticParty	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	domesticSecurity	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	0	0	1	0	0
47	economy	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	3	0	3	0	2	0	0	1	3	0	0	0	2	0	1	5	1	0	1	0	0	0	0	0
48	election	0	0	1	0	0	0	0	0	2	0	3	0	5	7	0	0	5	0	1	0	2	7	1	0	1	4	0	0	0	0	0	3	0	0	1	0	0	0	0	1
49	emergencyStay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
50	energy	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	14	8	11	0	0	10	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
51	environment	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	7	3	0	0	0	7	1	0	0	5	0	2	0	1	1	0	0	0	0	0	0	0
52	environmentalRegulation	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
53	executiveOrder	0	0	2	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0	33	15	3	10	17	0	1	0	0	0	14	0	4	0	0	0	0
54	filibuster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
55	foreignAid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
56	foreignCountry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
57	freeTrade	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
58	gorsuch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	0
59	government	2	0	2	0	3	0	0	0	4	0	0	3	1	9	4	2	4	2	2	0	1	0	0	0	5	4	1	1	0	3	1	0	2	0	1	2	3	0	0	0
60	hack	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
