EC	EC_Strength	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
northKorea	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
nuclearTesting	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
parisAccord	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
president	0.166666667	14	14	1	16	10	26	13	13	8	17	18	12	31	83	11	1	36	9	26	17	18	27	24	18	81	37	5	11	6	13	2	10	9	16	6	4	11	4	3	27
publicSafety	0.333333333	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0
reform	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
refugees	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
regulation	0.166666667	3	0	2	1	1	1	5	5	8	0	1	0	0	4	0	0	4	0	7	8	2	1	0	12	3	0	0	7	6	0	0	6	1	0	0	0	2	3	4	1
repealAndReplace	0.5	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
republican	0.333333333	0	1	0	2	1	0	1	3	1	2	0	4	1	0	4	1	1	7	1	0	1	8	0	0	8	0	0	1	0	1	0	0	0	0	12	0	0	0	10	3
republicanLawmakers	0.5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
republicanLeaders	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
restriction	0.5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
russia	0.333333333	0	4	0	0	0	0	0	0	0	0	5	0	14	0	0	0	0	0	0	0	0	15	2	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
russian	0.5	0	1	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	6	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sanction	0.5	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
secretary	1	0	0	2	0	1	1	0	1	1	0	0	0	1	3	0	2	0	1	0	0	1	0	0	1	5	0	18	1	1	1	1	0	0	1	0	1	0	2	0	0
senateRule	0.333333333	0	0	0	1	0	0	0	0	0	3	1	4	1	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	12	1
smallBusinessConfidence	0.2	0	0	0	4	0	2	3	2	2	0	0	0	3	16	0	2	0	0	6	0	1	0	2	0	14	0	0	0	0	0	4	21	0	0	1	0	0	0	0	6
smallBusinessConfidenceIndex	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
supremeCourt	0.1	1	0	3	0	0	0	0	0	0	38	0	0	0	3	0	4	0	1	0	3	1	0	0	0	5	3	3	1	0	1	0	0	0	10	0	0	0	0	34	0
tariff	0.5	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
taxBreak	0.333333333	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
terrorist	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tradeDeficit	0.166666667	1	0	1	2	1	0	6	5	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	47	1	2	0	0	0	15	0	0	2
tradingPartners	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
transPacificPartnership	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
travelBan	0.2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0	0	0	0	3	0
tweet	0.25	0	3	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	1	0	0	3	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0
twitter	1	0	2	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0
unitedStates	0.25	2	6	3	0	0	1	0	1	1	0	0	0	0	2	1	0	1	1	2	0	13	2	1	2	9	1	4	1	0	1	0	2	3	1	0	0	2	2	0	0
vladimirPutin	0.333333333	0	3	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wall	0.166666667	0	0	1	0	0	0	0	2	0	0	0	0	0	0	21	0	1	15	0	0	0	0	0	0	2	0	0	0	0	7	1	0	5	0	0	0	0	0	0	0
war	0.5	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
washington	0.5	0	0	4	0	1	0	0	0	1	0	3	0	1	4	1	1	0	0	1	0	2	0	0	0	3	3	0	0	0	0	1	0	1	1	1	0	0	4	0	0
whiteHouse	0.5	0	1	2	2	0	0	0	0	0	0	0	2	0	2	0	0	1	0	1	2	1	1	0	3	11	3	0	1	1	1	3	0	1	1	2	1	2	0	0	2
