	EC	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
35	campaign	1	0	0	0	2	0	0	1	2	1	1	0	0	3	0	4	2	2	9	0	0	3	1	0	6	4	0	1	0	3	0	0	2	0	0	0	1	1	0	0
36	certainMiddle-Easterncountries	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0
37	cleanEnergy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
38	climateChange	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	4	0	2	5	19	0	0	6	1	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0
39	coalMiners	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
40	confirmationHearings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
41	congress	0	0	2	1	0	0	0	2	4	0	1	1	0	0	4	1	1	1	0	2	0	0	0	0	1	3	0	0	1	4	0	0	3	0	2	0	1	0	0	2
42	conservative	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
43	construction	0	0	1	0	0	0	0	1	3	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
44	cost	0	2	1	1	1	0	0	2	6	0	1	1	0	0	5	0	0	2	2	0	3	1	0	3	7	0	0	0	0	11	0	1	0	0	1	0	0	0	0	1
45	deductibles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
